0,51,52,53,54,55,56,57,58,0
0,51,52,53,54,55,56,57,58,1
0,51,52,53,54,55,56,57,58,2
0,51,52,53,54,55,56,57,58,3
1,52,53,54,55,56,57,58,59,0
1,52,53,54,55,56,57,58,59,1
1,52,53,54,55,56,57,58,59,2
1,52,53,54,55,56,57,58,59,3
2,53,54,55,56,57,58,59,60,0
2,53,54,55,56,57,58,59,60,1
2,53,54,55,56,57,58,59,60,2
2,53,54,55,56,57,58,59,60,3
3,54,55,56,57,58,59,60,61,0
3,54,55,56,57,58,59,60,61,1
3,54,55,56,57,58,59,60,61,2
3,54,55,56,57,58,59,60,61,3
4,55,56,57,58,59,60,61,62,0
4,55,56,57,58,59,60,61,62,1
4,55,56,57,58,59,60,61,62,2
4,55,56,57,58,59,60,61,62,3
5,56,57,58,59,60,61,62,63,0
5,56,57,58,59,60,61,62,63,1
5,56,57,58,59,60,61,62,63,2
5,56,57,58,59,60,61,62,63,3
6,57,58,59,60,61,62,63,64,0
6,57,58,59,60,61,62,63,64,1
6,57,58,59,60,61,62,63,64,2
6,57,58,59,60,61,62,63,64,3
7,58,59,60,61,62,63,64,65,0
7,58,59,60,61,62,63,64,65,1
7,58,59,60,61,62,63,64,65,2
7,58,59,60,61,62,63,64,65,3
8,59,60,61,62,63,64,65,66,0
8,59,60,61,62,63,64,65,66,1
8,59,60,61,62,63,64,65,66,2
8,59,60,61,62,63,64,65,66,3
9,60,61,62,63,64,65,66,67,0
9,60,61,62,63,64,65,66,67,1
9,60,61,62,63,64,65,66,67,2
9,60,61,62,63,64,65,66,67,3
10,61,62,63,64,65,66,67,68,0
10,61,62,63,64,65,66,67,68,1
10,61,62,63,64,65,66,67,68,2
10,61,62,63,64,65,66,67,68,3
11,62,63,64,65,66,67,68,69,0
11,62,63,64,65,66,67,68,69,1
11,62,63,64,65,66,67,68,69,2
11,62,63,64,65,66,67,68,69,3
12,63,64,65,66,67,68,69,70,0
12,63,64,65,66,67,68,69,70,1
12,63,64,65,66,67,68,69,70,2
12,63,64,65,66,67,68,69,70,3
13,64,65,66,67,68,69,70,71,0
13,64,65,66,67,68,69,70,71,1
13,64,65,66,67,68,69,70,71,2
13,64,65,66,67,68,69,70,71,3
14,65,66,67,68,69,70,71,72,0
14,65,66,67,68,69,70,71,72,1
14,65,66,67,68,69,70,71,72,2
14,65,66,67,68,69,70,71,72,3
15,66,67,68,69,70,71,72,73,0
15,66,67,68,69,70,71,72,73,1
15,66,67,68,69,70,71,72,73,2
15,66,67,68,69,70,71,72,73,3
16,67,68,69,70,71,72,73,74,0
16,67,68,69,70,71,72,73,74,1
16,67,68,69,70,71,72,73,74,2
16,67,68,69,70,71,72,73,74,3
17,68,69,70,71,72,73,74,75,0
17,68,69,70,71,72,73,74,75,1
17,68,69,70,71,72,73,74,75,2
17,68,69,70,71,72,73,74,75,3
18,69,70,71,72,73,74,75,76,0
18,69,70,71,72,73,74,75,76,1
18,69,70,71,72,73,74,75,76,2
18,69,70,71,72,73,74,75,76,3
19,70,71,72,73,74,75,76,77,0
19,70,71,72,73,74,75,76,77,1
19,70,71,72,73,74,75,76,77,2
19,70,71,72,73,74,75,76,77,3
20,71,72,73,74,75,76,77,78,0
20,71,72,73,74,75,76,77,78,1
20,71,72,73,74,75,76,77,78,2
20,71,72,73,74,75,76,77,78,3
21,72,73,74,75,76,77,78,79,0
21,72,73,74,75,76,77,78,79,1
21,72,73,74,75,76,77,78,79,2
21,72,73,74,75,76,77,78,79,3
22,73,74,75,76,77,78,79,80,0
22,73,74,75,76,77,78,79,80,1
22,73,74,75,76,77,78,79,80,2
22,73,74,75,76,77,78,79,80,3
23,74,75,76,77,78,79,80,81,0
23,74,75,76,77,78,79,80,81,1
23,74,75,76,77,78,79,80,81,2
23,74,75,76,77,78,79,80,81,3
